Datum;Dag;Studie;Werk;Sport;Overig;Slapen
07-09-16;Woensdag;3;6;2;6;7
08-09-16;Donderdag;1;9;0;7;7
09-09-16;Vrijdag;0;9;0;8;7
10-09-16;Zaterdag;2;0;3;13;6
11-09-16;Zondag;3;0;0;13;8
12-09-16;Maandag;2;6;1;8;7
13-09-16;Dinsdag;1;10;0;6;7
14-09-16;Woensdag;7;4;2;5;6
15-09-16;Donderdag;2;6;0;8;8
16-09-16;Vrijdag;0;0;0;16;8
17-09-16;Zaterdag;0;0;3;11;10
18-09-16;Zondag;3;0;0;13;8
19-09-16;Maandag;6;6;1;4;7
20-09-16;Dinsdag;3;9;0;5;7
21-09-16;Woensdag;0;9;2;6;7
22-09-16;Donderdag;2;9;0;5;8
23-09-16;Vrijdag;0;8;0;9;7
24-09-16;Zaterdag;0;0;3;12;9
25-09-16;Zondag;1;0;0;12;11
26-09-16;Maandag;4;5;1;6;8
27-09-16;Dinsdag;1;9;0;7;7
28-09-16;Woensdag;4;9;2;3;6